sentence,source,target,label,llm_label,title,abstract,doi
"High Nitrate levels also led to specific gene expression patterns (e.g., polyamine metabolism), while other genes responded to inoculation regardless of Nitrogen supply conditions",Nitrate,Nitrogen,Cause-Effect,cause-effect,Nitrogen Nutrition Modulates the Response to Alternaria brassicicola Infection via Metabolic Modifications in Arabidopsis Seedlings.,"Little is known about the effect of nitrogen nutrition on seedling susceptibility to seed-borne pathogens. We have previously shown that seedlings grown under high nitrate (5 mM) conditions are less susceptible than those grown under low nitrate (0.1 mM) and ammonium (5 mM) in the Arabidopsis-Alternaria brassicicola pathosystem. However, it is not known how seedling metabolism is modulated by nitrogen nutrition, nor what is its response to pathogen infection. Here, we addressed this question using the same pathosystem and nutritive conditions, examining germination kinetics, seedling development, but also shoot ion contents, metabolome, and selected gene expression. Nitrogen nutrition clearly altered the seedling metabolome. A similar metabolomic profile was observed in inoculated seedlings grown at high nitrate levels and in not inoculated-seedlings. High nitrate levels also led to specific gene expression patterns (e.g., polyamine metabolism), while other genes responded to inoculation regardless of nitrogen supply conditions. Furthermore, the metabolites best correlated with high disease symptoms were coumarate, tyrosine, hemicellulose sugars, and polyamines, and those associated with low symptoms were organic acids (tricarboxylic acid pathway, glycerate, shikimate), sugars derivatives and β-alanine. Overall, our results suggest that the beneficial effect of high nitrate nutrition on seedling susceptibility is likely due to nutritive and signaling mechanisms affecting developmental plant processes detrimental to the pathogen. In particular, it may be due to a constitutively high tryptophan metabolism, as well as down regulation of oxidative stress caused by polyamine catabolism.",10.3390/plants13040534
"Here, we report that feeding Arabidopsis thaliana with Ring-13 C-labeled Phenylalanine (13 C6 -Phe) resulted in incorporation of the 13 C label not into SA, but into its isomer 4-hydroxybenzoic acid (4-HBA) instead",Phenylalanine,4-hydroxybenzoic acid,Cause-Effect,cause-effect,Salicylic acid biosynthesis is not from phenylalanine in Arabidopsis.,"The phytohormone salicylic acid (SA) regulates biotic and abiotic stress responses in plants. Two distinct biosynthetic pathways for SA have been well documented in plants: the isochorismate (IC) pathway in the chloroplast and the phenylalanine ammonia-lyase (PAL) pathway in the cytosol. However, there has been no solid evidence that the PAL pathway contributes to SA biosynthesis. Here, we report that feeding Arabidopsis thaliana with Ring-13 C-labeled phenylalanine (13 C6 -Phe) resulted in incorporation of the 13 C label not into SA, but into its isomer 4-hydroxybenzoic acid (4-HBA) instead. We obtained similar results when feeding 13 C6 -Phe to the SA-deficient ics1 ics2 mutant and the SA-hyperaccumulating mutant s3h s5h. Notably, we detected 13 C6 -SA when 13 C6 -benzoic acid (BA) was provided, suggesting that SA can be synthesized from BA. Furthermore, despite the substantial accumulation of SA upon pathogen infection, we did not observe incorporation of 13 C label from Phe into SA. We also did not detect 13 C6 -SA in PAL-overexpressing lines in the kfb01 kfb02 kfb39 kfb50 background after being fed 13 C6 -Phe, although endogenous PAL levels were dramatically increased. Based on these combined results, we propose that SA biosynthesis is not from Phe in Arabidopsis. These results have important implications for our understanding of the SA biosynthetic pathway in land plants.",10.1111/jipb.13410
"The aim of this work is to study the immune responses of the polychaete Sabella spallanzanii after exposure to Copper sulphate, an immunomodulating agent in marine organisms, and the multiple stresses caused by Escherichia coli infection, to validate the species as a model organism in marine-coastal biomonitoring programmes",Copper,Escherichia coli,Cause-Effect,cause-effect,Response of Sabella spallanzanii to multiple stressors. The combined effect of infection and copper sulphate.,"The aim of this work is to study the immune responses of the polychaete Sabella spallanzanii after exposure to copper sulphate, an immunomodulating agent in marine organisms, and the multiple stresses caused by Escherichia coli infection, to validate the species as a model organism in marine-coastal biomonitoring programmes. Polychaetes were housed in laboratory and divided into five experimental groups: 1. Control (no microinjected), 2. filtered seawater + TBS injection (control of point 3), 3. filtered seawater + E. coli injection (control of point 4), 4. CuSO4 + TBS injection (control of point 5), and 5. CuSO4 + E. coli injection. The immune variables, esterase and alkaline phosphatase activity, cytotoxicity and detoxifying/antioxidant enzymes such as glutathione peroxidase were evaluated in total body extracts of the animals. Moreover, toll-like receptor, allograft inflammatory factor-1, lysozyme and haemagglutinating activity were investigated to highlight possible interactions. Indeed, the results of this work demonstrate the immunomodulating effect of copper sulphate on S. spallanzanii total body extracts related to oxidative stress and inflammatory markers.",10.1016/j.cbpc.2022.109475
"Many cancer and activated immune cells (Warburg effect) or yeasts (Crabtree effect) mostly rely on aerobic glucose fermentation leading to lactate or Ethanol, respectively, to generate ATP",Ethanol,ATP,Cause-Effect,cause-effect,Including glutamine in a resource allocation model of energy metabolism in cancer and yeast cells.,"Energy metabolism is crucial for all living cells, especially during fast growth or stress scenarios. Many cancer and activated immune cells (Warburg effect) or yeasts (Crabtree effect) mostly rely on aerobic glucose fermentation leading to lactate or ethanol, respectively, to generate ATP. In recent years, several mathematical models have been proposed to explain the Warburg effect on theoretical grounds. Besides glucose, glutamine is a very important substrate for eukaryotic cells-not only for biosynthesis, but also for energy metabolism. Here, we present a minimal constraint-based stoichiometric model for explaining both the classical Warburg effect and the experimentally observed respirofermentation of glutamine (WarburQ effect). We consider glucose and glutamine respiration as well as the respective fermentation pathways. Our resource allocation model calculates the ATP production rate, taking into account enzyme masses and, therefore, pathway costs. While our calculation predicts glucose fermentation to be a superior energy-generating pathway in human cells, different enzyme characteristics in yeasts reduce this advantage, in some cases to such an extent that glucose respiration is preferred. The latter is observed for the fungal pathogen Candida albicans, which is a known Crabtree-negative yeast. Further, optimization results show that glutamine is a valuable energy source and important substrate under glucose limitation, in addition to its role as a carbon and nitrogen source of biomass in eukaryotic cells. In conclusion, our model provides insights that glutamine is an underestimated fuel for eukaryotic cells during fast growth and infection scenarios and explains well the observed parallel respirofermentation of glucose and glutamine in several cell types.",10.1038/s41540-024-00393-x
"maxima infection under HS the Calcium signaling pathway was downregulated, including genes responsible for increasing the cytoplasmic Calcium concentration; and tryptophan metabolism was upregulated, including genes that contribute to catabolizing tryptophan through serotonin and indole pathways; which might result in reducing the cytoplasmic pool of nutrients and calcium available for the parasite to scavenge and consequently might affect the parasite's reproductive ability.",HS the Calcium,the cytoplasmic Calcium,Component-Whole,cause-effect,Host transcriptome response to heat stress and Eimeria maxima infection in meat-type chickens.,"Eimeria (E.) maxima parasite infects chickens' midgut disrupting the jejunal and ileal mucosa causing high morbidity and mortality. Heat stress (HS) is a seasonal stressor that impacts biological functions leading to poor performance. This study elucidates how HS, E. maxima infection, and their combination affect the ileum transcriptome. Two-hundred and forty 2-week-old males Ross708 chickens were randomly allocated into four treatment groups: thermoneutral-control (TNc), thermoneutral-infected (TNi), heat-stress control (HSc), and heat stress-infected (HSi), with 6 replicates each of 10 birds. Infected groups received 200x103 sporulated E. maxima oocysts/bird, and heat-treated groups were raised at 35°C. At 6-day post-treatment, ileums of five randomly selected chickens per group were sampled, RNA was extracted and sequenced. A total of 413, 3377, 1908, and 2304 DEGs were identified when applying the comparisons: TNc vs HSc, TNc vs TNi, HSi vs HSc, and TNi vs HSi, respectively, at cutoff ≥1.2-fold change (FDR: q<0.05). HSc vs TNc showed upregulation of lipid metabolic pathways and degradation/metabolism of multiple amino acids; and downregulation of most immune-related and protein synthesis pathways. TNc vs TNi displayed upregulation of most of immune-associated pathways and eukaryotic mRNA maturation pathways; and downregulation of fatty acid metabolism and multiple amino acid metabolism pathways including tryptophan. Comparing HSi versus HSc and TNi revealed that combining the two stressors restored the expression of some cellular functions, e.g., oxidative phosphorylation and protein synthesis; and downregulate immune response pathways associated with E. maxima infection. During E. maxima infection under HS the calcium signaling pathway was downregulated, including genes responsible for increasing the cytoplasmic calcium concentration; and tryptophan metabolism was upregulated, including genes that contribute to catabolizing tryptophan through serotonin and indole pathways; which might result in reducing the cytoplasmic pool of nutrients and calcium available for the parasite to scavenge and consequently might affect the parasite's reproductive ability.",10.1371/journal.pone.0296350
"maxima infection under HS the Calcium signaling pathway was downregulated, including genes responsible for increasing the cytoplasmic calcium concentration; and Tryptophan metabolism was upregulated, including genes that contribute to catabolizing tryptophan through serotonin and indole pathways; which might result in reducing the cytoplasmic pool of nutrients and calcium available for the parasite to scavenge and consequently might affect the parasite's reproductive ability.",Calcium,Tryptophan,Component-Whole,cause-effect,Host transcriptome response to heat stress and Eimeria maxima infection in meat-type chickens.,"Eimeria (E.) maxima parasite infects chickens' midgut disrupting the jejunal and ileal mucosa causing high morbidity and mortality. Heat stress (HS) is a seasonal stressor that impacts biological functions leading to poor performance. This study elucidates how HS, E. maxima infection, and their combination affect the ileum transcriptome. Two-hundred and forty 2-week-old males Ross708 chickens were randomly allocated into four treatment groups: thermoneutral-control (TNc), thermoneutral-infected (TNi), heat-stress control (HSc), and heat stress-infected (HSi), with 6 replicates each of 10 birds. Infected groups received 200x103 sporulated E. maxima oocysts/bird, and heat-treated groups were raised at 35°C. At 6-day post-treatment, ileums of five randomly selected chickens per group were sampled, RNA was extracted and sequenced. A total of 413, 3377, 1908, and 2304 DEGs were identified when applying the comparisons: TNc vs HSc, TNc vs TNi, HSi vs HSc, and TNi vs HSi, respectively, at cutoff ≥1.2-fold change (FDR: q<0.05). HSc vs TNc showed upregulation of lipid metabolic pathways and degradation/metabolism of multiple amino acids; and downregulation of most immune-related and protein synthesis pathways. TNc vs TNi displayed upregulation of most of immune-associated pathways and eukaryotic mRNA maturation pathways; and downregulation of fatty acid metabolism and multiple amino acid metabolism pathways including tryptophan. Comparing HSi versus HSc and TNi revealed that combining the two stressors restored the expression of some cellular functions, e.g., oxidative phosphorylation and protein synthesis; and downregulate immune response pathways associated with E. maxima infection. During E. maxima infection under HS the calcium signaling pathway was downregulated, including genes responsible for increasing the cytoplasmic calcium concentration; and tryptophan metabolism was upregulated, including genes that contribute to catabolizing tryptophan through serotonin and indole pathways; which might result in reducing the cytoplasmic pool of nutrients and calcium available for the parasite to scavenge and consequently might affect the parasite's reproductive ability.",10.1371/journal.pone.0296350
"maxima infection under HS the calcium signaling pathway was downregulated, including genes responsible for increasing the cytoplasmic calcium concentration; and Tryptophan metabolism was upregulated, including genes that contribute to catabolizing Tryptophan through serotonin and indole pathways; which might result in reducing the cytoplasmic pool of nutrients and calcium available for the parasite to scavenge and consequently might affect the parasite's reproductive ability.",concentration; and Tryptophan,to catabolizing Tryptophan,Component-Whole,cause-effect,Host transcriptome response to heat stress and Eimeria maxima infection in meat-type chickens.,"Eimeria (E.) maxima parasite infects chickens' midgut disrupting the jejunal and ileal mucosa causing high morbidity and mortality. Heat stress (HS) is a seasonal stressor that impacts biological functions leading to poor performance. This study elucidates how HS, E. maxima infection, and their combination affect the ileum transcriptome. Two-hundred and forty 2-week-old males Ross708 chickens were randomly allocated into four treatment groups: thermoneutral-control (TNc), thermoneutral-infected (TNi), heat-stress control (HSc), and heat stress-infected (HSi), with 6 replicates each of 10 birds. Infected groups received 200x103 sporulated E. maxima oocysts/bird, and heat-treated groups were raised at 35°C. At 6-day post-treatment, ileums of five randomly selected chickens per group were sampled, RNA was extracted and sequenced. A total of 413, 3377, 1908, and 2304 DEGs were identified when applying the comparisons: TNc vs HSc, TNc vs TNi, HSi vs HSc, and TNi vs HSi, respectively, at cutoff ≥1.2-fold change (FDR: q<0.05). HSc vs TNc showed upregulation of lipid metabolic pathways and degradation/metabolism of multiple amino acids; and downregulation of most immune-related and protein synthesis pathways. TNc vs TNi displayed upregulation of most of immune-associated pathways and eukaryotic mRNA maturation pathways; and downregulation of fatty acid metabolism and multiple amino acid metabolism pathways including tryptophan. Comparing HSi versus HSc and TNi revealed that combining the two stressors restored the expression of some cellular functions, e.g., oxidative phosphorylation and protein synthesis; and downregulate immune response pathways associated with E. maxima infection. During E. maxima infection under HS the calcium signaling pathway was downregulated, including genes responsible for increasing the cytoplasmic calcium concentration; and tryptophan metabolism was upregulated, including genes that contribute to catabolizing tryptophan through serotonin and indole pathways; which might result in reducing the cytoplasmic pool of nutrients and calcium available for the parasite to scavenge and consequently might affect the parasite's reproductive ability.",10.1371/journal.pone.0296350
"maxima infection under HS the calcium signaling pathway was downregulated, including genes responsible for increasing the cytoplasmic calcium concentration; and Tryptophan metabolism was upregulated, including genes that contribute to catabolizing tryptophan through Serotonin and indole pathways; which might result in reducing the cytoplasmic pool of nutrients and calcium available for the parasite to scavenge and consequently might affect the parasite's reproductive ability.",Tryptophan,Serotonin,Component-Whole,cause-effect,Host transcriptome response to heat stress and Eimeria maxima infection in meat-type chickens.,"Eimeria (E.) maxima parasite infects chickens' midgut disrupting the jejunal and ileal mucosa causing high morbidity and mortality. Heat stress (HS) is a seasonal stressor that impacts biological functions leading to poor performance. This study elucidates how HS, E. maxima infection, and their combination affect the ileum transcriptome. Two-hundred and forty 2-week-old males Ross708 chickens were randomly allocated into four treatment groups: thermoneutral-control (TNc), thermoneutral-infected (TNi), heat-stress control (HSc), and heat stress-infected (HSi), with 6 replicates each of 10 birds. Infected groups received 200x103 sporulated E. maxima oocysts/bird, and heat-treated groups were raised at 35°C. At 6-day post-treatment, ileums of five randomly selected chickens per group were sampled, RNA was extracted and sequenced. A total of 413, 3377, 1908, and 2304 DEGs were identified when applying the comparisons: TNc vs HSc, TNc vs TNi, HSi vs HSc, and TNi vs HSi, respectively, at cutoff ≥1.2-fold change (FDR: q<0.05). HSc vs TNc showed upregulation of lipid metabolic pathways and degradation/metabolism of multiple amino acids; and downregulation of most immune-related and protein synthesis pathways. TNc vs TNi displayed upregulation of most of immune-associated pathways and eukaryotic mRNA maturation pathways; and downregulation of fatty acid metabolism and multiple amino acid metabolism pathways including tryptophan. Comparing HSi versus HSc and TNi revealed that combining the two stressors restored the expression of some cellular functions, e.g., oxidative phosphorylation and protein synthesis; and downregulate immune response pathways associated with E. maxima infection. During E. maxima infection under HS the calcium signaling pathway was downregulated, including genes responsible for increasing the cytoplasmic calcium concentration; and tryptophan metabolism was upregulated, including genes that contribute to catabolizing tryptophan through serotonin and indole pathways; which might result in reducing the cytoplasmic pool of nutrients and calcium available for the parasite to scavenge and consequently might affect the parasite's reproductive ability.",10.1371/journal.pone.0296350
"Exogenous melatonin treatments have been used to reduce the incidence of several virus diseases, reducing symptoms, virus titer, and even eradicating the proliferation of viruses such as Tobacco Mosaic Virus, Apple Stem Grooving Virus, Rice Stripe Virus and Alfalfa Mosaic Virus in tomato, apple, rice and eggplant, respectively",Apple,Rice,Cause-Effect,component-whole,Melatonin as a Possible Natural Anti-Viral Compound in Plant Biocontrol.,"Melatonin is a multifunctional and ubiquitous molecule. In animals, melatonin is a hormone that is involved in a wide range of physiological activities and is also an excellent antioxidant. In plants, it has been considered a master regulator of multiple physiological processes as well as of hormonal homeostasis. Likewise, it is known for its role as a protective biomolecule and activator of tolerance and resistance against biotic and abiotic stress in plants. Since infections by pathogens such as bacteria, fungi and viruses in crops result in large economic losses, interest has been aroused in determining whether melatonin plays a relevant role in plant defense systems against pathogens in general, and against viruses in particular. Currently, several strategies have been applied to combat infection by pathogens, one of them is the use of eco-friendly chemical compounds that induce systemic resistance. Few studies have addressed the use of melatonin as a biocontrol agent for plant diseases caused by viruses. Exogenous melatonin treatments have been used to reduce the incidence of several virus diseases, reducing symptoms, virus titer, and even eradicating the proliferation of viruses such as Tobacco Mosaic Virus, Apple Stem Grooving Virus, Rice Stripe Virus and Alfalfa Mosaic Virus in tomato, apple, rice and eggplant, respectively. The possibilities of using melatonin as a possible natural virus biocontrol agent are discussed.",10.3390/plants12040781
"Background
Cadmium poisoning is mainly caused by inhalation of Cadmium dust or cadmium compound dust, which greatly harms people's lives",Cadmium,inhalation of Cadmium,Cause-Effect,cause-effect,Effect of Tea Polyphenols on Nuclear Factor Erythroid 2-related Factor 2 (NRF2) and Kelch-like ECH-associated Protein 1 (KEAP1) Gene Expression in Mice with Acute Cadmium Poisoning.,"Background
Cadmium poisoning is mainly caused by inhalation of cadmium dust or cadmium compound dust, which greatly harms people's lives. Tea polyphenols extracted from green tea have wide biological properties, including anti-cardiovascular disease, anti-tumor, anti-inflammatory, and immune regulation. The transcription factor nuclear factor erythroid 2-related factor 2 (NRF2) and Kelch-like ECH-associated protein 1 (KEAP1) are involved in the regulation of cadmium-induced oxidative damage. However, whether tea polyphenols relieve acute cadmium poisoning via regulating NRF2 and KEAP1 gene expression remains unclear.


Objective
To explore the influences of tea polyphenols on NRF2 and KEAP1 gene expression in mice with acute cadmium poisoning.


Design
This is an animal experiment that adopts hematoxylin and eosin (HE) staining and immunohistochemistry (IHC) staining.


Setting
This study was carried out in Zunyi Medical and Pharmaceutical College.


Participants
Fifty specific pathogen-free (SPF) male Kunming mice aged 9 weeks, weighing 18-22 g were divided into five groups: normal group, model group, low-dose tea polyphenols group, middle-dose tea polyphenols group, and high-dose tea polyphenols group.


Interventions
Tea polyphenols were administered intraastrically into mice with doses of 50 mg/kg, 100 mg/kg, and 200 mg/kg for 10 consecutive days, respectively.


Observation indicators
(1) liver coefficient, (2) pathological liver injury, (3) liver function, (4) oxidative damage, and (5) NRF2 and KEAP1 gene expression.


Results
The liver coefficient, pathological liver injury, serum aspartate transaminase and alanine transaminase levels of the model group were higher relative to the normal group (P < .05). Relative to the model group, different doses of tea polyphenols treatment significantly relieved liver coefficient, pathological liver injury, serum aspartate transaminase, and alanine transaminase levels (P < .05). Malondialdehyde content in liver tissues of the model group was significantly higher compared to the normal group, while glutathione together with glutathione peroxidase contents of the model group was lower (P < .05). Compared to the model group, malondialdehyde content in liver tissues declined while glutathione together with glutathione peroxidase contents were elevated after different doses of tea polyphenols treatment (P < .05). Relative to the normal group, NRF2 expression in the liver tissues of the model group was significantly lower, while KEAP1 expression was higher (P < .05). Relative to the model group, NRF2 expression in the liver tissues was elevated after treatment of different doses of tea polyphenols, while KEAP1 expression was declined (P < .05).


Conclusion
Tea polyphenols can relieve liver injury in mice with acute cadmium poisoning by regulating NRF2 and KEAP1 expression. Our study might provide a promising treatment strategy for acute cadmium poisoning.",
"This study aimed to enhance Water deficit resilience in sweet corn by applying foliar melatonin to four genotypes-Messenger, Dessert, Royalty, and Tyson under two levels of water deprivation induced by Polyethylene glycol at 8% and 12% concentrations in a hydroponic, controlled environment",Water,Polyethylene glycol,Component-Whole,cause-effect,Genotype-dependent resilience mediated by melatonin in sweet corn.,"BACKGROUND
Water deficits, exacerbated by climate change and unpredictable weather, have become a significant global challenge to agricultural productivity. In this context, exogenous melatonin treatment is well documented as a stress alleviator; however, its effects on various biological processes, particularly in less-explored genotypes, remain understudied. This study aimed to enhance water deficit resilience in sweet corn by applying foliar melatonin to four genotypes-Messenger, Dessert, Royalty, and Tyson under two levels of water deprivation induced by polyethylene glycol at 8% and 12% concentrations in a hydroponic, controlled environment.


RESULTS
The melatonin treatments were assessed for their impact on various morphological, physiological, and biochemical parameters under both normal and water-deficit conditions. Under severe water deprivation (12% PEG), melatonin increased root length by 75%, peroxidase activity by 31% while reducing malondialdehyde content by 34% in genotype Dessert indicating enhanced antioxidant defense and reduced oxidative damage. Likewise in genotype Royalty, stomatal conductance increased by 68%, with increasing specific area by 125% on melatonin treatment under severe water deprivation. The treatment also improved chlorophyll-a content by 93% in Royalty and 37% in Tyson, while decrease in malondialdehyde levels by 42% in Tyson, indicating reduced oxidative damage under severe water deprivation. In addition, melatonin increased photosystem II efficiency (Fv/Fm) in all genotypes with 27% increase in Royalty and improved quantum yield across all genotypes, regardless of the water deficit level.


CONCLUSION
Overall, melatonin treatment showed genotype-specific and dose-dependent effects in mitigating water deficit effects, offering a promising strategy to improve crop resilience and productivity in limited water environments. These results suggest the practical application for integrating melatonin treatments into sustainable agricultural practices, such as improving water deficit tolerance in sweet corn and potentially other crops, to maintain productivity under adverse climatic conditions.",10.1186/s12870-024-05972-y
"In addition, GmCOL1a promoted the expression of genes related to salt tolerance, effectively reducing the Na+/K+ ratio in Soybean plants, especially in stems and leaves of 35S:GmCOL1a Soybean",ratio in Soybean,of 35S:GmCOL1a Soybean,Cause-Effect,component-whole,CONSTANS-LIKE 1a positively regulates salt and drought tolerance in soybean.,"Salt and drought stresses are major factors limiting soybean (Glycine max [L.] Merr.) growth and development; thus, improving soybean stress tolerance is critical. In this study, both salt stress and drought stress induced mRNA levels of CONSTANS-like 1a (GmCOL1a) and stabilized the GmCOL1a protein. Transgenic 35S:GmCOL1a soybean plants exhibited enhanced salt and drought tolerance, with higher relative water content in leaves, greater proline content, lower malondialdehyde (MDA) content, and less reactive oxygen species (ROS) production compared with wild-type plants; the GmCOL1a knockout co-9 mutant showed opposite phenotypes. In addition, GmCOL1a promoted the expression of genes related to salt tolerance, effectively reducing the Na+/K+ ratio in soybean plants, especially in stems and leaves of 35S:GmCOL1a soybean. Chromatin immunoprecipitation sequencing (ChIP-seq) analysis identified two potential direct targets of GmCOL1a, late embryogenesis abundant (GmLEA) and Δ1-pyrroline-5-carboxylate synthetase (GmP5CS) genes, which were verified by chromatin immunoprecipitation quantitative polymerase chain reaction (ChIP-qPCR), electrophoretic mobility shift assay (EMSA), and transient transcriptional activation assays. GmCOL1a bound directly to the Myc(bHLH)-binding and Che-binding motifs of GmLEA and GmP5CS promoters to stimulate mRNA expression. Analysis of transgenic hairy-root GmP5CS:GmP5CS soybean plants in wild type, co-9, and 35S:GmCOL1a backgrounds further revealed that GmCOL1a enhances salt and drought tolerance by promoting GmP5CS protein accumulation in transgenic soybean hairy roots. Therefore, we demonstrate that GmCOL1a plays an important role in tolerance to abiotic stress in soybean.",10.1093/plphys/kiac573
"Differential metabolites in Tomato leaves exposed to PYS compared with the control, including Amino acids, phosphates, and flavonoids, may play important roles in tomato response to PYS stress",Tomato,Amino acids,Component-Whole,component-whole,Accumulation and metabolism of pyroxasulfone in tomato seedlings.,"Pyroxasulfone (PYS) is an isoxazole herbicide favored for its high activity. However, the metabolic mechanism of PYS in tomato plants and the response mechanism of tomato to PYS are still lacking. In this study, it was found that tomato seedlings had a strong ability to absorb and translocate PYS from roots to shoots. The highest accumulation of PYS was in the apex tissue of the tomato shoots. Using UPLC-MS/MS, five metabolites of PYS were detected and identified in tomato plants, and their relative contents in different parts of tomato plants varied greatly. The serine conjugate, DMIT [5, 5-dimethyl-4, 5-dihydroisoxazole-3-thiol (DMIT)] &Ser, was the most abundant metabolites of PYS in tomato plants. In tomato plants, the conjugation of thiol-containing metabolic intermediates of PYS to serine may mimic the cystathionine β-synthase-catalyzed condensation of serine and homocysteine (in the pathway sly00260 sourced from KEGG database). This study ground breakingly proposed that serine may play an important role in plant metabolism of PYS and fluensulfone (whose molecular structure is similar to PYS). PYS and atrazine (whose toxicity profile is similar to PYS but not conjugate with serine) produced different regulatory outcomes for endogenous compounds in the pathway sly00260. Differential metabolites in tomato leaves exposed to PYS compared with the control, including amino acids, phosphates, and flavonoids, may play important roles in tomato response to PYS stress. This study provides inspiration for the biotransformation of sulfonyl-containing pesticides, antibiotics and other compounds in plants.",10.1016/j.ecoenv.2023.114765
Fifteen prepubertal Ossimi ram lambs were exposed to a single s.c injection of either nano Melatonin (nano melatonin group; 20 mg/ram; n = 5) or melatonin suspended in two ml of Corn oil (melatonin group; 40 mg/ram; n = 5) or two ml of corn oil (control group; n = 5),Melatonin,Corn,Component-Whole,component-whole,"Administration of melatonin nanoparticles improves testicular blood flow, echotexture of testicular parenchyma, scrotal circumference, and levels of estradiol and nitric oxide in prepubertal ossimi rams under summer heat stress.","Environmental heat stress (HS) impairs reproductive efficiency in farm animals. This study investigated, for the first time, how the melatonin and melatonin nanoparticles treatment affected the testicular hemodynamics, testicular volume, echotexture [Pixel intensity (PIX) and integrated density (IND)], scrotal circumference, serum concentration of testosterone (T), estradiol (E2), nitric oxide (NO), and total antioxidant capacity (TAC) in prepubertal Ossimi ram lambs in hot climatic conditions. The lambs undergoing examination had a temperature humidity index (THI) of 87.05 ± 1.70, indicating severe HS condition. Fifteen prepubertal Ossimi ram lambs were exposed to a single s.c injection of either nano melatonin (nano melatonin group; 20 mg/ram; n = 5) or melatonin suspended in two ml of corn oil (melatonin group; 40 mg/ram; n = 5) or two ml of corn oil (control group; n = 5). Blood collection and ultrasonographic assessment of the testes and supratesticular arteries (STAs) were conducted immediately before treatment (W0) and once weekly for six successive weeks after nano melatonin and melatonin injection (W1-W6). Results revealed decreases (P < 0.05) in the Doppler indices (resistive index; RI and pulsatility index; PI) of the testicular arteries at most time points of the study in the nano melatonin and melatonin groups. PIX of testicular parenchyma was significantly increased (P ˂ 0.05) in the treated groups compared to the control one. IND of testicular parenchyma increased significantly in the nano melatonin group compared to the melatonin and control groups. Testicular volume and scrotal circumference significantly increased (P < 0.05) in nano melatonin and melatonin groups compared to the control one. T concentration did not significantly (P > 0.05) change in the treated groups compared to the control group. E2, NO, and TAC concentrations increased (P < 0.05) in the treated groups compared to the control one. In conclusion, this study extrapolated that administrations of melatonin or nano melatonin can ameliorate the effects of environmental HS in prepubertal Ossimi ram lambs with a more protective effect and lower dose of nano melatonin.",10.1007/s11259-024-10563-1
"Furthermore, the key organic osmolytes and Amino acids, including Taurine, l-methionine, guanidinoethyl sulfonate, and N-acetyl-l-aspartic acid, exhibited a negative correlation with the AsB concentration",Amino acids,Taurine,Component-Whole,component-whole,Integrating Transcriptome and Metabolome Analyses Revealed Salinity Induces Arsenobetaine Biosynthesis in Marine Medaka (Oryzias melastigma).,"Marine fish exhibit elevated levels of arsenobetaine (AsB), while the impact and underlying mechanism of salinity on AsB biosynthesis remain inadequately explored. In this study, marine medaka (Oryzias melastigma), typically inhabiting 30‰ high salinity, were gradually acclimated to low salinities of 20, 10, and 0‰. Following acclimation, the fish were exposed to arsenate (As(V)) in their diet for 30 days. Results showed a significant accumulation of total arsenic (As) and AsB concentrations in the muscle and head tissues of the exposed fish, with these accumulations exhibiting a positive correlation with water salinity. Transcriptome analyses revealed that exposure to As(V) at low salinity may disrupt membrane components and induce cytoskeletal injuries, while at high salinity, it triggered oxidoreductase activity and transmembrane transport. Metabolome analyses indicated that low salinity induced osmotic stress, resulting in an increased requirement for amino acids to upload intracellular osmotic equilibrium in O. melastigma. Furthermore, the key organic osmolytes and amino acids, including taurine, l-methionine, guanidinoethyl sulfonate, and N-acetyl-l-aspartic acid, exhibited a negative correlation with the AsB concentration. These findings indicated that salinity can regulate osmotic balance by influencing amino acid synthesis under low salinity and stimulating AsB synthesis under high salinity conditions in O. melastigma. This study provides insights into the impact of high salinity on AsB biosynthesis, the underlying regulatory mechanisms, and implications for managing As(V) risk.",10.1021/acs.est.4c07382
