sentence,source,target,label,llm_label
"The approval of all next-generation ALK TKIs was first in the Crizotinib-refractory setting, based on a large-scale Phase 2 trial, and was then followed by at least one global randomized phase 3 trial comparing to Platinum-based chemotherapy (ASCEND-4) or to crizotinib (ALEX, ALTA-1L, eXalt3, CROWN)",Crizotinib,Platinum,Component-Whole,cause-effect
"BACKGROUND
Choline alfoscerate (alpha-glycerylphosphorylcholine) is a phospholipid that includes choline, which increases the release of Acetylcholine",Choline,Acetylcholine,Component-Whole,cause-effect
"The utilization of transdermal fentanyl and Buprenorphine, resulting in higher doses of Morphine equivalent, poses significant risks for side effects.",Buprenorphine,Morphine,Cause-Effect,cause-effect
"Exonuclease activity is carried out by two magnesium cations, bound to four highly conserved, negatively charged Amino acids (AA) consisting of Aspartic acid at amino acid position 316 (p.D316), glutamic acid at position 318 (p.E318), p.D402, and p.D515 (termed DEDD motif)",Amino acids,Aspartic acid,Component-Whole,component-whole
"This commentary aims to open the discussion on the possible mechanisms connecting the long-term prescribing of these drugs to the elderly and the incidence of neurodegenerative diseases.Abbreviations: AD: Alzheimer disease; APP-βCTF: amyloid beta precursor protein-C-terminal fragment; BACE1: beta-secretase 1; BBB: brain blood barrier; CHX: Ca2+/H+ exchanger; CMI: cognitive mild impairment; CQ: chloroquine; DMARD: disease-modifying antirheumatic drugs; GBA1: glucosylceramidase beta 1; HCQ: Hydroxychloroquine; HPLC: high-performance liquid chromatography; LAMP: lysosomal associated membrane protein; MAPK/JNK: mitogen-activated protein kinase; MAPT: microtubule associated protein tau; MCOLN1/TRPML1: mucolipin TRP cation channel 1; NFE2L2/NRF2: NFE2 like bZIP transcription factor 2; NRBF2: nuclear receptor binding factor 2; PANTHOS: poisonous flower; PD: Parkinson disease; PIK3C3: phosphatIdylinositol 3-kinase catalytic subunit type 3; PPI: proton pump inhibitor; PSEN1: presenilin 1, RUBCN: rubicon autophagy regulator; RUBCNL: rubicon like autophagy enhancer; SQSTM1: sequestosome 1; TMEM175: transmembrane protein 175; TPCN2: two pore segment channel 2; VATPase: vacuolar-type H+-translocating ATPase; VPS13C: vacuolar protein sorting ortholog 13 homolog C; VPS35: VPS35 retromer complex component; WDFY3: WD repeat and FYVE domain containing 3; ZFYVE1: Zinc finger FYVE-type containing 1.",Hydroxychloroquine,Zinc,Component-Whole,cause-effect
This article reviews the various metabolites generated in the competing pathways of Tryptophan metabolism including the Kynurenine pathway,Tryptophan,Kynurenine,Component-Whole,component-whole
"AC treatment significantly reduced the levels of monoamine and Acetylcholine neurotransmitters in the brains of rats, including acetylcholine (Ach), Dopamine (DA), 3,4-dihydroxyphenylacetic acid (DOPAC), homovanillic acid (HVA), norepinephrine (NE), and serotonin (5-HT)",Acetylcholine,Dopamine,Component-Whole,cause-effect
"RESULTS
The results revealed significant correlations between disease severity and several micronutrients, including Omega-3 fatty acids (B = -0.2, P = 0.01), carotenoids (B = -0.19, P = 0.02), dietary antioxidant compounds, including vitamins A, C, D, E (B = -0.19, P = 0.02), Selenium (B = -0.17, P = 0.03), alpha-carotene (B = -0.16, P = 0.04), beta-carotene (B = -0.17, P = 0.03), and lycopene (B = -0.16, P = 0.04)",Omega-3 fatty acids,Selenium,Component-Whole,cause-effect
"The dams were divided into four groups: Control, Pb2+, NAC, and Pb2++NAC, which were given drinking Water or 500 ppm lead Acetate in the drinking water ad libitum, from 0 to 23 postnatal days (PNDs)",Water,Acetate,Cause-Effect,component-whole
"The in-silico analysis suggests that multiple Hydrogen bonds and hydrophobic interactions of BET with critical amino acid residues, including Arginine (ARG380 and ARG415) in the Keap1 Kelch domain, which may disrupt Keap1-Nrf2 complex and activate Nrf2",Hydrogen,Arginine,Component-Whole,component-whole
"Psilocybin and other tryptamines with structurally similar compounds, including psilocin, baeocystin, Tryptophan, tryptamine, and aeruginascin, were identified and imaged in the psilocybe tissue section; the semiquantitative analysis of the distribution of psilocybin was also investigated using a homemade 75-well CsCl-coated plate; and the target plate can be placed on the mass spectrometry target carrier along with the indium-tin oxide (ITO) conductive slide, which can simultaneously carry out matrix vapor deposition, thus ensuring the parallelism between the standards and samples in the pretreatment experiment and MSI",Psilocybin,Tryptophan,Component-Whole,component-whole
"Psilocybin and other tryptamines with structurally similar compounds, including psilocin, baeocystin, tryptophan, tryptamine, and aeruginascin, were identified and imaged in the psilocybe tissue section; the semiquantitative analysis of the distribution of psilocybin was also investigated using a homemade 75-well CsCl-coated plate; and the target plate can be placed on the mass spectrometry target carrier along with the Indium-tin oxide (ITO) conductive slide, which can simultaneously carry out matrix vapor deposition, thus ensuring the parallelism between the standards and samples in the pretreatment experiment and MSI",Psilocybin,Indium,Component-Whole,component-whole
"AIM
The aim of the present work was to evaluate the neuroprotective potential of berberine, Levetiracetam and their combination in lead Acetate-induced neurotoxicity by applying a drug repositioning approach",Levetiracetam,Acetate,Cause-Effect,cause-effect
"OBJECTIVE
To study the therapeutic effect of berberine, Levetiracetam and their physical mixture in lead Acetate-induced neurotoxicity in Swiss albino mice for probable application in the management of Alzheimer's disease",Levetiracetam,Acetate,Cause-Effect,cause-effect
"As a result, exposure to essential metals, such as manganese, iron, copper, zinc, and Cobalt, and nonessential metals, including lead, aluminum, and Cadmium, perturbs metal homeostasis at the cellular and organism levels leading to neurodegeneration",Cobalt,Cadmium,Component-Whole,cause-effect
"In addition, values of abiotic parameters (temperature, salinity and pH) and metal (cadmium, copper, Iron, lead and Zinc) concentrations in the clams' soft tissues, previously obtained and published by the authors, as well as the values of immune-related parameters were integrated using principal component analyses",Iron,Zinc,Cause-Effect,component-whole
"Additional studies using live-cell imaging of neurons expressing a redox-sensitive GFP targeted to the mitochondrial matrix show that treatment with Homocysteine leads to a progressive increase in mitochondrial reactive Oxygen species generation, which is dependent on GluN2A-NMDAR-mediated sustained ERK MAPK activation",Homocysteine,Oxygen,Cause-Effect,cause-effect
"The safety profile of Repotrectinib was consistent with earlier-generation ROS1 TKIs and common adverse events included anemia, neurotoxicity, increased Creatine kinase levels, and weight gain",Repotrectinib,Creatine,Component-Whole,cause-effect
Glutathione ratio was decreased as a result of combinations of Glyphosate and mancozeb,Glutathione,Glyphosate,Cause-Effect,cause-effect
"In a rabbit model of auricular artery embolism, the combination treatment of heparin and Nitroglycerin resulted in a relative blood reperfusion recovery of 80% in the ischemic area of the PCL group on day 7 post-operation, which was comparable to that of the HA group treated with Hyaluronidase",Nitroglycerin,Hyaluronidase,Cause-Effect,cause-effect
"Natural chromenone, quercetin, scopoletin, esculetin, coumestrol, umbelliferone, bergapten, and Methoxsalen (xanthotoxin), and synthetic chromenone hybrids comprising structures like acridine, 4-aminophenyl, 3-arylcoumarins, Quinoline, 1,3,4-oxadiazole, 1,2,3-triazole, and tacrine, have been explored for their potential to combat AD",Methoxsalen,Quinoline,Component-Whole,component-whole
"Results: of brain homogenate supernatant assay demonstrated that Glycyrrhiza glabra stem and leaf flavonoids had a significant effect on the levels of oxidative indicators superoxide dismutase (SOD), catalase (CAT), Malonaldehyde (MDA), acetylcholine (Ach), acetylcholinesterase (AchE), Caspase-3, Caspase-9 and serum inflammatory factors TNF-α, IL-6 and IL-1β",Glycyrrhiza glabra,Malonaldehyde,Cause-Effect,cause-effect
"Previous research has revealed that IBD patients often have a deficiency of Choline and its metabolites, including Acetylcholine (ACh) and phosphatidylcholine (PC), within the colon",Choline,Acetylcholine,Component-Whole,component-whole
Acetylcholinesterase (AChE) can enzymatically hydrolyze Acetylcholine (ACh) to generate Acetic acid,Acetylcholine,Acetic acid,Cause-Effect,cause-effect
"In this study, we examined the comparative effects of the SGLT2 inhibitor Dapagliflozin (SGLT2i group, n = 53) and the combined use of dapagliflozin and conventional diuretics, including loop diuretics and/or thiazides (SGLT2i + diuretic group, n = 23), on serum copeptin, a stable, sensitive, and simple surrogate marker of Vasopressin release and body fluid status",Dapagliflozin,Vasopressin,Component-Whole,cause-effect
"Subsequently, (-)-Fenchone exhibited predominantly fungicidal activity (MIC90 = 8 μg/mL; MFC = 16 μg/mL), including against Miconazole-resistant C",Fenchone,Miconazole,Component-Whole,cause-effect
"METHODS
Eligible patients had high-grade serous Platinum-resistant ovarian cancer with high FRα expression and one to three prior therapies (prior Bevacizumab required)",Platinum,Bevacizumab,Component-Whole,cause-effect
"Twelve patients (86%) had previously received Olaparib and two (14%) Niraparib; 12 patients received rucaparib as treatment for platinum-resistant HGOC, one as treatment for platinum-sensitive HGOC, and one as maintenance therapy",Olaparib,Niraparib,Component-Whole,cause-effect
"Importantly, by performing the drug sensitivity analysis, we found that the OSC patients in the low-risk group were more sensitive to cisplatin, paclitaxel and Docetaxel than those in the high-risk group, while the latter ones were more sensitive to VEGFR inhibitor Axitinib and BRAF inhibitors Vemurafenib and SB590885",Docetaxel,Axitinib,Component-Whole,cause-effect
"IC50 analysis indicated that the ESM1-SCD1 axis induces the resistance of OC cells to Platinum agents, including Cisplatin, carboplatin, and oxaliplatin, by upregulating P-gp",Platinum,Cisplatin,Component-Whole,component-whole
"OBJECTIVE
Chemotherapy for high-grade serous ovarian cancers in Platinum-sensitive relapse includes Carboplatin/paclitaxel, carboplatin/gemcitabine, and carboplatin/pegylated liposomal doxorubicin",Platinum,Carboplatin,Component-Whole,component-whole
"Furthermore, 286 differential metabolites (including N-undecylbenzenesulfonic acid, 1,25-dihydroxyvitamin D3, gluconic acid, isoleucylproline, Proline, and 1-kestose) and 19 significantly altered metabolic pathways (including Galactose metabolism, ABC transporters, starch and sucrose metabolism, the ErbB signaling pathway, and the MAPK signaling pathway) were identified between the Eimeria-immunized group and the control group",Proline,Galactose,Component-Whole,cause-effect
"cochleariae larvae was investigated by offering G- and G+ larvae leaf discs of Watercress (containing mainly the benzenic 2-phenylethyl glucosinolate and myrosinases) or Pea (Pisum sativum, Fabaceae, lacking glucosinolates and myrosinases) treated with the aliphatic 4-pentenyl glucosinolate or the indole 1-methoxy-3-indolylmethyl glucosinolate",Watercres,Pea,Component-Whole,component-whole
"Rats in groups 6, 7, and 8 were pretreated with the same doses of Garlic, silymarin, and garlic plus silymarin, respectively for two hours before Cadmium administration",Garlic,Cadmium,Component-Whole,cause-effect
"Similarly, histological studies revealed that silymarin and/or Garlic extract reduced the liver damage caused by Cadmium",Garlic,Cadmium,Cause-Effect,cause-effect
"Metal concentrations of aluminum (Al), cadmium (Cd), copper (Cu), Iron (Fe), lead (Pb), and Zinc (Zn) were measured in shrimp collected from various sites in the Canary Islands, including areas affected by volcanic activity, industrial activity, and control zones",Iron,Zinc,Cause-Effect,component-whole
"When the composite catalyst catalyzed α-pinene to synthesize Terpineol in one step, the Terpineol was optically active, and terpineol synthesized using the two-step method with the dehydration of p-menthane-1,8-diol monohydrate was racemic",to synthesize Terpineol,"step, the Terpineol",Component-Whole,component-whole
Loss of Hemin-induced surface expression of GPVI was caused by shedding of the ectodomain of GPVI as verified by immunoblotting and is independent of the GPVI or CLEC-2 mediated ITAM (immunoreceptor-Tyrosine-based-activation-motif) signaling pathway as inhibitor studies revealed,Hemin,Tyrosine,Cause-Effect,cause-effect
The extracellular portion of CD163 contains nine scavenger receptor Cysteine-rich (SRCR) and two Proline-serine-threonine (PST) domains,Cysteine,Proline,Component-Whole,component-whole
"The most frequently identified NZBSE allergen was Benzalkonium chloride (contained in 48% of formulations), followed by Propylene glycol (6%), lanolin (4%), parabens (4%), caine anaesthetics (2%), neomycin sulphate (2%), and cetearyl alcohol (1%)",Benzalkonium,Propylene glycol,Component-Whole,component-whole
"Drug prevalences by LC-MS-MS were higher in urine for two drug classes (cocaine, Methadone) and higher in oral fluid for two drug classes (Buprenorphine, tramadol), but were equivalent in urine and oral fluid when averaged over all 10 drug classes",Methadone,Buprenorphine,Component-Whole,cause-effect
"The results revealed that Colistin administration caused deterioration in renal functions such as Creatinine, blood urea nitrogen, 24 h proteinuria, and kidney injury molecule-1 with decrease in creatinine clearance, resulting in histological alternation and tubular damage with diffuse interstitial inflammation",Colistin,Creatinine,Cause-Effect,cause-effect
"Co-administration of bentonite along with Chromium and arsenic resulted in partial amelioration (group 8) compared to groups 7 and 9, administered arsenic + Chromium + vitamin E and arsenic + chromium + vitamin E + bentonite, respectively",along with Chromium,arsenic + Chromium,Cause-Effect,cause-effect
"Co-administration of bentonite along with Chromium and arsenic resulted in partial amelioration (group 8) compared to groups 7 and 9, administered arsenic + chromium + Vitamin E and arsenic + chromium + vitamin E + bentonite, respectively",Chromium,Vitamin E,Cause-Effect,cause-effect
"We found that Sevoflurane increased tau phosphorylation and decreased the transient amplitude of Ca2+ signals and dendritic spine density in dorsal hippocampal CA1 (dCA1) neurons, leading to cognitive impairment in Testosterone-deprived male mice",Sevoflurane,Testosterone,Cause-Effect,cause-effect
"In normoxic conditions, the majority of the ATP production (>95%) required for heart beating comes from mitochondrial oxidative phosphorylation of fatty acids (FAs) and glucose, with the remaining portion coming from a variety of sources, including Fructose, lactate, ketone bodies (KB) and branched chain amino acids (BCAA)",ATP,Fructose,Cause-Effect,cause-effect
Our results also highlight an unanticipated role of Ponatinib in causing direct activation of a kinase target despite its role as an ATP-competitive kinase inhibitor.,Ponatinib,ATP,Cause-Effect,cause-effect
"CONCLUSION
While administration of nirmatrelvir/Ritonavir resulted in a significant increase in Tacrolimus concentration, this did not result in significant nephrotoxicity",Ritonavir,Tacrolimu,Cause-Effect,cause-effect
"SIGNIFICANCE STATEMENT: As Cisplatin treatment continues to cause AKI in a third of patients, it is critical to improve the understanding of the relationships between Platinum PK and nephrotoxicity as assessed by traditional clinical and contemporary subclinical TD markers of kidney injury",Cisplatin,Platinum,Cause-Effect,component-whole
Prediction and prevention of Cisplatin-induced nephrotoxicity will be advanced by the evolving development of PKTD models that incorporate kidney injury biomarkers with enhanced sensitivity and include covariates that can impact risk of developing Cisplatin-induced AKI.,prevention of Cisplatin,of developing Cisplatin,Component-Whole,cause-effect
"Treatment with Naringin corrected anemia, reduced oxidative stress, improved antioxidant system, reduced high blood pressure, and offered protection against lead Acetate-induced cardio-renal dysfunction in cockerel chicks",Naringin,Acetate,Cause-Effect,cause-effect
"However, the protective effects of myricetin (MYC) and Fisetin (FST), which are known to have potent antioxidant properties, against nephrotoxicity caused by exposure to lead Acetate (LA), the water-soluble form of lead, have not been investigated",Fisetin,Acetate,Cause-Effect,cause-effect
"Additionally, quercetin and Ferulic acid caused significant estrogenic effects evidenced by an increase of 8.7 to 22.48% in serum Estradiol, though to a lesser amount than in the reference drug-treated group (64.21%)",Ferulic acid,Estradiol,Cause-Effect,cause-effect
"These Amino acids influence multiple pathways including Nitric Oxide synthesis, vascular remodeling, and neurotransmitter production, among others",Amino acids,Nitric Oxide,Component-Whole,cause-effect
"Common sources of Iodine include the consumption of an Iodine-rich diet or iodine-fortified foods, the administration of amiodarone, iodine-containing supplements, or iodinated contrast media, and other miscellaneous sources",sources of Iodine,of an Iodine,Component-Whole,component-whole
"Common sources of Iodine include the consumption of an iodine-rich diet or iodine-fortified foods, the administration of Amiodarone, iodine-containing supplements, or iodinated contrast media, and other miscellaneous sources",Iodine,Amiodarone,Component-Whole,component-whole
"Methods to assess population Iodine status include the measurement of urinary Iodine concentrations, blood thyroglobulin levels, prevalence of elevated neonatal thyrotropin levels, and thyroid volume",assess population Iodine,of urinary Iodine,Component-Whole,component-whole
"Methods to assess population Iodine status include the measurement of urinary iodine concentrations, blood Thyroglobulin levels, prevalence of elevated neonatal thyrotropin levels, and thyroid volume",Iodine,Thyroglobulin,Component-Whole,component-whole
"Insufficient Serine due to negative correlation of PHGDH with SAH concentration may inhibit the folate cycle and transsulfurarion pathway and consequential reduced antioxidant power, including Glutathione, taurine, NADPH, and NAD+",Serine,Glutathione,Component-Whole,cause-effect
"The OAC group received 20 mg Omeprazole capsules twice a day, two 500 mg Amoxicillin capsules twice a day, and 500 mg Clarithromycin capsules twice a day for 14 days",Omeprazole,Amoxicillin,Component-Whole,component-whole
"The OAL group received 20 mg Omeprazole capsules twice a day, two 500 mg Amoxicillin capsules twice a day, and Levofloxacin 500 mg capsules twice a day for 14 days",Omeprazole,Amoxicillin,Component-Whole,component-whole
"The OAMB group received 20 mg Omeprazole capsules twice a day, two 500 mg Amoxicillin capsules twice a day, Metronidazole 500mg three times a day, and Bismuth 240 mg twice a day for 14 days",Omeprazole,Amoxicillin,Component-Whole,component-whole
"Blisters can be formed when Carbon dioxide, generated in the reaction with isocyanate and Water, is trapped in the film",Carbon dioxide,Water,Cause-Effect,cause-effect
"They were dimethylformamide, acetonitrile, trichloroethylene, xylene, styrene, toluene, dichloromethane, Copper, antimony, lead, copper, Iron, welding fume, and manganese",Copper,Iron,Cause-Effect,component-whole
"RESULTS
Fructose consumption led to MS, reduced the levels of Tryptophan and 5-hydroxitryptophan, and increased histamine",Fructose,Tryptophan,Cause-Effect,cause-effect
"BACKGROUND
Choline is an important metabolite involved in phospholipids synthesis, including serum lipids, and is the immediate precursor of Betaine",Choline,Betaine,Component-Whole,component-whole
"Furthermore, Topiroxostat led to improvements in renal function, including increased eGFR and decreased levels of urinary albumin, Uric acid, urinary protein, urinary 8-hydroxy-2'-deoxyguanosine (8-OHdG), and liver-type fatty acid-binding protein (L-FABP) following treatment",Topiroxostat,Uric acid,Component-Whole,cause-effect
"BAK-preserved Latanoprost caused an increase in the secretion of pro-inflammatory IL-6 and IL-8 (p = 0.0001 and p = 0.0019, respectively) compared to a negative control, which PF Latanoprost did not",Latanoprost,which PF Latanoprost,Cause-Effect,cause-effect
"All observational studies which assessed the association of three heavy metals (Cadmium, mercury, lead) and bio-elements (Chromium, iron, manganese, and magnesium, copper) with the risk of MetS were included",Cadmium,Chromium,Cause-Effect,cause-effect
"It has long been known that heterogeneous Chlorine (Cl) activation occurs on the polar stratospheric clouds (PSCs; liquid and solid particles containing Water, sulfuric acid, and in some cases nitric acid) that are found in the stratosphere, but these are only effective for ozone depletion chemistry at temperatures below about 195 K (i.e., largely in the polar regions during winter)",Chlorine,Water,Component-Whole,component-whole
"Metagenomic and metatranscriptomic analysis revealed that Methylosarcina efficiently oxidized methane to Formaldehyde, subsequently generating abundant NAD(P)H for Nitrate reduction by Hyphomicrobium through the dissimilatory RuMP pathway, leading to CO2 production",Formaldehyde,Nitrate,Cause-Effect,cause-effect
Aniline chosen as the best reductant for this aim has led to formation of composite (according to Raman spectroscopy) Prussian blue - polyaniline nanoparticles,Aniline,Prussian blue,Cause-Effect,cause-effect
"Electrocatalytic Water splitting is crucial to generate clean Hydrogen fuel, but implementation at an industrial scale remains limited due to dependence on expensive platinum (Pt)-based electrocatalysts",Water,Hydrogen,Cause-Effect,cause-effect
"Detailed investigations revealed that endogenetic CDs within MF microspheres strongly construct covalent and Hydrogen-bonded interfacial connections, coupled with the protection provided by the microsphere shell, greatly suppressing nonradiative decay of CDs, resulting in a yellow or Orange RTP duration of about 7 s that is visible to the naked eye, even in aqueous or organic environments",Hydrogen,Orange,Cause-Effect,cause-effect
"This study shows for the first time that Boric acid catalyses the hydrolysis of peroxyacids, resulting in an approximately 12-fold increase in hydrolysis rate for both Peracetic acid (PAA) and 3-chloroperbenzoic acid (MCPBA) when 0.1 M boric acid is present",Boric acid,Peracetic acid,Cause-Effect,cause-effect
"Thiram administration caused an increase in the activity of Glutathione-dependent enzymes (glutathione peroxidase, glutathione transferase, and glutathione reductase)",Thiram,Glutathione,Cause-Effect,cause-effect
"Mn-NZ imparts Glucose oxidase- and peroxidase-like properties to BP@Mn-NC, generating reactive Oxygen species (ROS) that induce lipid peroxidation and malondialdehyde accumulation across the bacterial cell membrane",Glucose oxidase,Oxygen,Cause-Effect,cause-effect
"Cancer-triggered MnO2 degradation in the hydrogel, prompted by increased levels of glutathione (GSH) and reactive Oxygen species (ROS) such as H2O2, leads to PD release and FL restoration, thereby controlling changes in the pore structure and increasing Hydrogen bonding, resulting in physiologically visible alterations in mechanical stretchability, viscosity, swelling behavior, and adhesiveness",Oxygen,Hydrogen,Cause-Effect,cause-effect
"RESULTS
The AD process of three mesophilic semi-continuous 100L reactors critically intoxicated by free Ammonia (> 3.5 g_N L-1; inhibited hydrolysis and heterotrophic acetogenesis; interrupted methanogenesis) was restored by applying a strategy that included reducing pH using Acetic acid, washing out total ammonia with water, re-inoculation with active microbial flora and progressively re-introducing sugar beet pulp as a feed substrate",Ammonia,Acetic acid,Component-Whole,cause-effect
"RESULTS
The AD process of three mesophilic semi-continuous 100L reactors critically intoxicated by free Ammonia (> 3.5 g_N L-1; inhibited hydrolysis and heterotrophic acetogenesis; interrupted methanogenesis) was restored by applying a strategy that included reducing pH using acetic acid, washing out total ammonia with Water, re-inoculation with active microbial flora and progressively re-introducing sugar beet pulp as a feed substrate",Ammonia,Water,Component-Whole,cause-effect
This article reports on respiratory function in white rhinoceros (Ceratotherium simum) immobilized with Etorphine-azaperone and the changes induced by butorphanol administration as part of a multifaceted crossover study that also investigated the effects of Etorphine or etorphine-butorphanol treatments,immobilized with Etorphine,effects of Etorphine,Component-Whole,cause-effect
"Etorphine-Azaperone administration resulted in hypoxemia and hypercapnia, with increases in alveolar to arterial Oxygen gradient, oxygen consumption, and carbon dioxide production, and a decrease in expired minute ventilation",Azaperone,Oxygen,Cause-Effect,cause-effect
"Intravenous butorphanol administration in etorphine-Azaperone-immobilized white rhinoceros resulted in less hypoxemia and hypercapnia; a decrease in Oxygen consumption, carbon dioxide production, and expired minute ventilation; and no change in the alveolar to arterial oxygen gradient and rate of breathing",Azaperone,Oxygen,Cause-Effect,cause-effect
We show that the immobilization of white rhinoceros with etorphine-Azaperone results in hypoxemia and hypercapnia and that the subsequent intravenous administration of Butorphanol improves both arterial blood oxygen and carbon dioxide partial pressures.,Azaperone,Butorphanol,Cause-Effect,cause-effect
"Increasing the Pilocarpine dosages resulted in a linearly decreased MRT of fluid and small particles (p < 0.001 and p< 0.05, respectively) and Methane yield as related to digested DM (p < 0.05), the latter at a magnitude of 5%",Pilocarpine,Methane,Cause-Effect,cause-effect
"Common treatments transiently reducing serum Potassium (K+) (including Albuterol, glucose and insulin) may cause hypoglycaemia",Potassium,Albuterol,Component-Whole,cause-effect
"Our findings suggest that Berberine hydrochloride exerts its antimicrobial effects by damaging bacterial cell membranes, generating reactive Oxygen species (ROS), and reducing intracellular adenosine triphosphate (ATP) levels",Berberine,Oxygen,Cause-Effect,cause-effect
"Objectives
Tirzepatide belongs to a new class of anti-diabetic agents that stimulate both Glucagon-like peptide-1 and glucose-dependent insulinotropic polypeptide receptors, resulting in a greater blood glucose-lowering effect and body weight reduction than Glucagon-like peptide-1 analogs",stimulate both Glucagon,reduction than Glucagon,Cause-Effect,cause-effect
The aim of this research was to investigate the possible effects of L-Arginine supplementation and aerobic training on systemic oxidative stress and their consequences on cardiomyocytes during cardiometabolic disease onset caused by excess Fructose,Arginine,Fructose,Cause-Effect,cause-effect
Fructose was given for two weeks and Fructose plus treatments for the subsequent eight weeks,Fructose,weeks and Fructose,Component-Whole,component-whole
"During CVD onset, moderate aerobic exercise reduced lipid peroxidation, and both training and L-Arginine prevented metabolic changes caused by excessive Fructose",Arginine,Fructose,Cause-Effect,cause-effect
"High-performance liquid chromatography/high-resolution mass spectrometry analysis revealed a remarkable phenolic richness in Sorghum grains, including gallic acid, Quercetin, and the predominant procyanidin B-1, with ecotype-specific variations in flavonoid distribution",Sorghum,Quercetin,Component-Whole,component-whole
"Moreover, Sorghum extracts exhibited a remarkable increase in antioxidant enzyme activities, including a 50% increase in superoxide dismutase (SOD) activity and a 60% increase in Glutathione peroxidase (GPx) activity, indicating their potential to bolster antioxidant defenses against diabetes-induced oxidative stress",Sorghum,Glutathione,Component-Whole,cause-effect
Zinc (Zn) is one of the necessary elements in the human and mammalian diet that plays an important role in scavenging reactive Oxygen species (ROS) by providing antioxidant and anti-apoptotic properties,Zinc,Oxygen,Component-Whole,cause-effect
"In the present study, Date (Phoenix dactylifera L.) seed oil was investigated for its chemical composition and antimicrobial activity against common foodborne pathogens including Escherichia coli O157:H7, Salmonella enteritidis, Salmonella typhimurium, Listeria monocytogenes, and Staphylococcus aureus in vitro, and in ultra-high-temperature (UHT) milk as a food model at storage temperatures of 37 °C (24 h) and 10 °C (7 days)",Date,Escherichia coli,Component-Whole,cause-effect
"These design configurations include un-reinforced Calcium sulfate samples, and samples reinforced with one or two layers of stainless steel, poly (Lactic acid), and poly (L-lactic acid)",Calcium,Lactic acid,Component-Whole,component-whole
"For decades, antidiabetic drugs that are known to definitively increase the risk of HF are the thiazolidinediones (TZDs) and Saxagliptin in the dipeptidyl peptidase-4 (DPP-4) inhibitor, and insulin, which causes sodium and Water retention, and whether metformin is effective or safe for HF is not clear",Saxagliptin,Water,Cause-Effect,cause-effect
"Conclusion
Oral premedication with Melatonin 6mg administered two hours before surgery significantly reduced MAP before and after induction of GA with a significant reduction in dose of Propofol requirement",Melatonin,Propofol,Component-Whole,cause-effect
"Desflurane resulted in a 65% relative reduction in the incidence of prolonged extubation compared with Sevoflurane (95% confidence interval 49% to 76%, P < .0001) and in a 78% relative reduction compared with isoflurane (58% to 89%, P = .0001)",Desflurane,Sevoflurane,Cause-Effect,cause-effect
"This hydrogel, composed only from derivatives of natural Amino acids, has proven to be a competitive sorbent and has been effectively used to remove heavy metal pollutants, mainly lead, Copper, and silver ions, from aqueous media",Amino acids,Copper,Cause-Effect,component-whole
"Moreover, ironomycin caused a reduction in the uptake of the Iron-carrier protein transferrin mediated by a downregulation of the transferrin receptor and led to the accumulation and sequestering of Iron(II) in the parasite's lysosome, triggering an increase production of reactive oxygen species (ROS)",of the Iron,sequestering of Iron,Cause-Effect,cause-effect
"Moreover, ironomycin caused a reduction in the uptake of the Iron-carrier protein transferrin mediated by a downregulation of the transferrin receptor and led to the accumulation and sequestering of iron(II) in the parasite's lysosome, triggering an increase production of reactive Oxygen species (ROS)",Iron,Oxygen,Cause-Effect,cause-effect
Gelatin is a biocompatible biomaterial composed of a variety of Amino acids that provides a possibility to regulate the interaction between cationic amino acids and neural cells,Gelatin,Amino acids,Component-Whole,component-whole
"Diclofenac is one of the most popular over-the-counter non-steroidal anti-inflammatory drug and poly(Acrylic Acid) is a frequently used as thickener, filler or stabilizer",Diclofenac,Acrylic Acid,Component-Whole,component-whole
"Then, the pretreated solution was passed through sequential chromatographic columns, which effectively removed organic acid by-products (such as acetic acid and Lactic acid), SO4 2-, and NH4 + from the fermentation broth, resulting in a Cadaverine yield of 98.01% and a succinic acid yield of 89.35%",Lactic acid,Cadaverine,Cause-Effect,cause-effect
Analytical separation was performed using a C8 column and ion pair mobile phase composed of acetonitrile: acidified deionized Water (55: 45% v/v) containing 0.025% sodium Dodecyl sulfate,Water,Dodecyl sulfate,Component-Whole,component-whole
Group II (main) included 41 patients whose complex treatment included Cytochrome C and a solution containing Levocarnitine and arginine hydrochloride,Cytochrome C,Levocarnitine,Component-Whole,component-whole
"CONCLUSION
Conclusions: The use of Cytochrome C and a solution containing Levocarnitine and arginine hydrochloride in the complex treatment of patients with disseminated peritonitis helps to optimize the production of acute phase proteins, which leads to a decrease in inflammation and the preservation of factors of nonspecific humoral activity at a subcompensated level.",Cytochrome C,Levocarnitine,Component-Whole,cause-effect
Soybean protein was the only additive that led to labels that could sustain their structural integrity after immersion in Water for 12 h,Soybean,Water,Cause-Effect,cause-effect
"Composite edible films were developed by casting method using sunnhemp protein isolate (SHPI) and Potato starch (PS) at various proportions (100:0, 90:10, 80:20; 70:30, 60:40, and 50:50) containing glycerol as a plasticizer and Clove oil",Potato,Clove,Component-Whole,component-whole
"BACKGROUND
Garlic protein is one of the main components of Garlic",Garlic,components of Garlic,Component-Whole,component-whole
"The DAG and Gelatin-contained double emulsion showed improved encapsulation efficiency of bioactives, especially for the Epigallocatechin gallate (EGCG) during storage",Gelatin,Epigallocatechin,Component-Whole,component-whole
